time_id,full_date,year,month,day,quarter,weekday
T077,2023-08-09,2023,8,9,Q3,Wednesday
T078,2023-01-21,2023,1,21,Q1,Saturday
T079,2023-12-31,2023,12,31,Q4,Sunday
T080,2023-12-16,2023,12,16,Q4,Saturday
T081,2023-07-18,2023,7,18,Q3,Tuesday
T082,2023-05-03,2023,5,3,Q2,Wednesday
T083,2023-04-17,2023,4,17,Q2,Monday
T084,2023-11-09,2023,11,9,Q4,Thursday
T085,2023-11-07,2023,11,7,Q4,Tuesday
T086,2023-02-08,2023,2,8,Q1,Wednesday
T087,2023-03-20,2023,3,20,Q1,Monday
T088,2023-10-18,2023,10,18,Q4,Wednesday
T089,2023-11-18,2023,11,18,Q4,Saturday
T090,2023-09-12,2023,9,12,Q3,Tuesday
T091,2023-02-19,2023,2,19,Q1,Sunday
T092,2023-01-08,2023,1,8,Q1,Sunday
T093,2023-03-15,2023,3,15,Q1,Wednesday
T094,2023-06-08,2023,6,8,Q2,Thursday
T095,2023-10-08,2023,10,8,Q4,Sunday
T096,2023-02-14,2023,2,14,Q1,Tuesday
T097,2023-09-13,2023,9,13,Q3,Wednesday
T098,2023-02-18,2023,2,18,Q1,Saturday
T099,2023-08-21,2023,8,21,Q3,Monday
T100,2023-06-10,2023,6,10,Q2,Saturday
T101,2023-03-28,2023,3,28,Q1,Tuesday
T102,2023-06-01,2023,6,1,Q2,Thursday
T103,2023-03-24,2023,3,24,Q1,Friday
T104,2023-02-04,2023,2,4,Q1,Saturday
T105,2023-05-24,2023,5,24,Q2,Wednesday
T106,2023-10-23,2023,10,23,Q4,Monday
T107,2023-07-06,2023,7,6,Q3,Thursday
T108,2023-06-30,2023,6,30,Q2,Friday
T109,2023-02-15,2023,2,15,Q1,Wednesday
T110,2023-02-06,2023,2,6,Q1,Monday
T111,2023-04-02,2023,4,2,Q2,Sunday
T112,2023-12-30,2023,12,30,Q4,Saturday
T113,2023-08-24,2023,8,24,Q3,Thursday
T114,2023-05-13,2023,5,13,Q2,Saturday
T115,2023-08-31,2023,8,31,Q3,Thursday
T116,2023-05-12,2023,5,12,Q2,Friday
T117,2023-08-15,2023,8,15,Q3,Tuesday
T118,2023-11-29,2023,11,29,Q4,Wednesday
T119,2023-03-13,2023,3,13,Q1,Monday
T120,2023-03-05,2023,3,5,Q1,Sunday
T121,2023-10-19,2023,10,19,Q4,Thursday
T122,2023-09-07,2023,9,7,Q3,Thursday
T123,2023-01-21,2023,1,21,Q1,Saturday
T124,2023-07-06,2023,7,6,Q3,Thursday
T125,2023-05-27,2023,5,27,Q2,Saturday
T126,2023-07-25,2023,7,25,Q3,Tuesday
T127,2023-07-29,2023,7,29,Q3,Saturday
T128,2023-11-14,2023,11,14,Q4,Tuesday
T129,2023-12-15,2023,12,15,Q4,Friday
T130,2023-03-08,2023,3,8,Q1,Wednesday
T131,2023-08-14,2023,8,14,Q3,Monday
T132,2023-07-07,2023,7,7,Q3,Friday
T133,2023-09-20,2023,9,20,Q3,Wednesday
T134,2023-11-16,2023,11,16,Q4,Thursday
T135,2023-06-10,2023,6,10,Q2,Saturday
T136,2023-07-11,2023,7,11,Q3,Tuesday
T137,2023-02-12,2023,2,12,Q1,Sunday
T138,2023-12-16,2023,12,16,Q4,Saturday
T139,2023-07-31,2023,7,31,Q3,Monday
T140,2023-09-17,2023,9,17,Q3,Sunday
T141,2023-08-19,2023,8,19,Q3,Saturday
T142,2023-05-15,2023,5,15,Q2,Monday
T143,2023-12-16,2023,12,16,Q4,Saturday
T144,2023-01-22,2023,1,22,Q1,Sunday
T145,2023-11-14,2023,11,14,Q4,Tuesday
T146,2023-11-26,2023,11,26,Q4,Sunday
T147,2023-01-30,2023,1,30,Q1,Monday
T148,2023-05-06,2023,5,6,Q2,Saturday
T149,2023-12-25,2023,12,25,Q4,Monday
T150,2023-10-15,2023,10,15,Q4,Sunday
T151,2023-01-05,2023,1,5,Q1,Thursday
T152,2023-03-21,2023,3,21,Q1,Tuesday
T153,2023-02-23,2023,2,23,Q1,Thursday
T154,2023-05-29,2023,5,29,Q2,Monday
T155,2023-07-12,2023,7,12,Q3,Wednesday
T156,2023-03-23,2023,3,23,Q1,Thursday
T157,2023-10-19,2023,10,19,Q4,Thursday
T158,2023-07-24,2023,7,24,Q3,Monday
T159,2023-02-07,2023,2,7,Q1,Tuesday
T160,2023-04-25,2023,4,25,Q2,Tuesday
T161,2023-07-18,2023,7,18,Q3,Tuesday
T162,2023-08-25,2023,8,25,Q3,Friday
T163,2023-12-09,2023,12,9,Q4,Saturday
T164,2023-02-17,2023,2,17,Q1,Friday
T165,2023-06-28,2023,6,28,Q2,Wednesday
T166,2023-08-27,2023,8,27,Q3,Sunday
T167,2023-08-28,2023,8,28,Q3,Monday
T168,2023-11-25,2023,11,25,Q4,Saturday
T169,2023-10-01,2023,10,1,Q4,Sunday
T170,2023-08-27,2023,8,27,Q3,Sunday
T171,2023-02-25,2023,2,25,Q1,Saturday
T172,2023-02-13,2023,2,13,Q1,Monday
T173,2023-04-03,2023,4,3,Q2,Monday
T174,2023-02-25,2023,2,25,Q1,Saturday
T175,2023-07-23,2023,7,23,Q3,Sunday
T176,2023-08-10,2023,8,10,Q3,Thursday
T177,2023-04-13,2023,4,13,Q2,Thursday
T178,2023-07-25,2023,7,25,Q3,Tuesday
T179,2023-06-18,2023,6,18,Q2,Sunday
T180,2023-02-03,2023,2,3,Q1,Friday
T181,2023-06-12,2023,6,12,Q2,Monday
T182,2023-06-25,2023,6,25,Q2,Sunday
T183,2023-11-06,2023,11,6,Q4,Monday
T184,2023-09-06,2023,9,6,Q3,Wednesday
T185,2023-04-19,2023,4,19,Q2,Wednesday
T186,2023-12-26,2023,12,26,Q4,Tuesday
T187,2023-09-01,2023,9,1,Q3,Friday
T188,2023-02-28,2023,2,28,Q1,Tuesday
T189,2023-05-23,2023,5,23,Q2,Tuesday
T190,2023-08-21,2023,8,21,Q3,Monday
T191,2023-01-20,2023,1,20,Q1,Friday
T192,2023-10-07,2023,10,7,Q4,Saturday
T193,2023-03-21,2023,3,21,Q1,Tuesday
T194,2023-08-29,2023,8,29,Q3,Tuesday
T195,2023-03-16,2023,3,16,Q1,Thursday
T196,2023-11-24,2023,11,24,Q4,Friday
T197,2023-04-20,2023,4,20,Q2,Thursday
T198,2023-06-13,2023,6,13,Q2,Tuesday
T199,2023-10-18,2023,10,18,Q4,Wednesday
T200,2023-01-17,2023,1,17,Q1,Tuesday
T201,2023-11-04,2023,11,4,Q4,Saturday
T202,2023-07-14,2023,7,14,Q3,Friday
T203,2023-02-01,2023,2,1,Q1,Wednesday
T204,2023-07-05,2023,7,5,Q3,Wednesday
T205,2023-08-09,2023,8,9,Q3,Wednesday
T206,2023-08-31,2023,8,31,Q3,Thursday
T207,2023-04-20,2023,4,20,Q2,Thursday
T208,2023-01-28,2023,1,28,Q1,Saturday
T209,2023-04-19,2023,4,19,Q2,Wednesday
T210,2023-01-12,2023,1,12,Q1,Thursday
T211,2023-12-17,2023,12,17,Q4,Sunday
T212,2023-08-05,2023,8,5,Q3,Saturday
T213,2023-05-19,2023,5,19,Q2,Friday
T214,2023-05-10,2023,5,10,Q2,Wednesday
T215,2023-11-22,2023,11,22,Q4,Wednesday
T216,2023-04-01,2023,4,1,Q2,Saturday
T217,2023-02-12,2023,2,12,Q1,Sunday
T218,2023-03-14,2023,3,14,Q1,Tuesday
T219,2023-02-05,2023,2,5,Q1,Sunday
T220,2023-05-21,2023,5,21,Q2,Sunday
T221,2023-07-27,2023,7,27,Q3,Thursday
T222,2023-02-11,2023,2,11,Q1,Saturday
T223,2023-06-02,2023,6,2,Q2,Friday
T224,2023-12-31,2023,12,31,Q4,Sunday
T225,2023-08-20,2023,8,20,Q3,Sunday
T226,2023-08-03,2023,8,3,Q3,Thursday
T227,2023-09-26,2023,9,26,Q3,Tuesday
T228,2023-04-20,2023,4,20,Q2,Thursday
T229,2023-12-09,2023,12,9,Q4,Saturday
T230,2023-05-13,2023,5,13,Q2,Saturday
T231,2023-04-05,2023,4,5,Q2,Wednesday
T232,2023-01-28,2023,1,28,Q1,Saturday
T233,2023-02-17,2023,2,17,Q1,Friday
T234,2023-08-08,2023,8,8,Q3,Tuesday
T235,2023-06-25,2023,6,25,Q2,Sunday
T236,2023-06-02,2023,6,2,Q2,Friday
T237,2023-03-26,2023,3,26,Q1,Sunday
T238,2023-04-12,2023,4,12,Q2,Wednesday
T239,2023-06-28,2023,6,28,Q2,Wednesday
T240,2023-08-03,2023,8,3,Q3,Thursday
T241,2023-09-04,2023,9,4,Q3,Monday
T242,2023-09-01,2023,9,1,Q3,Friday
T243,2023-10-02,2023,10,2,Q4,Monday
T244,2023-12-19,2023,12,19,Q4,Tuesday
T245,2023-03-24,2023,3,24,Q1,Friday
T246,2023-12-23,2023,12,23,Q4,Saturday
T247,2023-08-12,2023,8,12,Q3,Saturday
T248,2023-07-01,2023,7,1,Q3,Saturday
T249,2023-12-21,2023,12,21,Q4,Thursday
T250,2023-10-20,2023,10,20,Q4,Friday
T251,2023-07-19,2023,7,19,Q3,Wednesday
T252,2023-01-06,2023,1,6,Q1,Friday
T253,2023-10-15,2023,10,15,Q4,Sunday
T254,2023-11-02,2023,11,2,Q4,Thursday
T255,2023-04-12,2023,4,12,Q2,Wednesday
T256,2023-02-09,2023,2,9,Q1,Thursday
T257,2023-12-08,2023,12,8,Q4,Friday
T258,2023-10-24,2023,10,24,Q4,Tuesday
T259,2023-11-12,2023,11,12,Q4,Sunday
T260,2023-03-16,2023,3,16,Q1,Thursday
T261,2023-06-15,2023,6,15,Q2,Thursday
T262,2023-12-07,2023,12,7,Q4,Thursday
T263,2023-06-12,2023,6,12,Q2,Monday
T264,2023-01-08,2023,1,8,Q1,Sunday
T265,2023-03-19,2023,3,19,Q1,Sunday
T266,2023-08-23,2023,8,23,Q3,Wednesday
T267,2023-03-17,2023,3,17,Q1,Friday
T268,2023-09-13,2023,9,13,Q3,Wednesday
T269,2023-06-12,2023,6,12,Q2,Monday
T270,2023-02-28,2023,2,28,Q1,Tuesday
T271,2023-12-12,2023,12,12,Q4,Tuesday
T272,2023-07-28,2023,7,28,Q3,Friday
T273,2023-05-15,2023,5,15,Q2,Monday
T274,2023-09-24,2023,9,24,Q3,Sunday
T275,2023-01-02,2023,1,2,Q1,Monday
T276,2023-08-19,2023,8,19,Q3,Saturday
T277,2023-03-06,2023,3,6,Q1,Monday
T278,2023-11-21,2023,11,21,Q4,Tuesday
T279,2023-08-19,2023,8,19,Q3,Saturday
T280,2023-11-24,2023,11,24,Q4,Friday
T281,2023-10-24,2023,10,24,Q4,Tuesday
T282,2023-02-19,2023,2,19,Q1,Sunday
T283,2023-01-19,2023,1,19,Q1,Thursday
T284,2023-04-22,2023,4,22,Q2,Saturday
T285,2023-04-07,2023,4,7,Q2,Friday
T286,2023-08-04,2023,8,4,Q3,Friday
T287,2023-12-23,2023,12,23,Q4,Saturday
T288,2023-10-07,2023,10,7,Q4,Saturday
T289,2023-03-27,2023,3,27,Q1,Monday
T290,2023-11-04,2023,11,4,Q4,Saturday
T291,2023-07-13,2023,7,13,Q3,Thursday
T292,2023-04-21,2023,4,21,Q2,Friday
T293,2023-06-28,2023,6,28,Q2,Wednesday
T294,2023-04-18,2023,4,18,Q2,Tuesday
T295,2023-04-08,2023,4,8,Q2,Saturday
T296,2023-12-14,2023,12,14,Q4,Thursday
T297,2023-10-23,2023,10,23,Q4,Monday
T298,2023-01-08,2023,1,8,Q1,Sunday
T299,2023-07-09,2023,7,9,Q3,Sunday
T300,2023-07-06,2023,7,6,Q3,Thursday
T301,2023-01-09,2023,1,9,Q1,Monday
T302,2023-06-04,2023,6,4,Q2,Sunday
T303,2023-06-07,2023,6,7,Q2,Wednesday
T304,2023-09-15,2023,9,15,Q3,Friday
T305,2023-03-05,2023,3,5,Q1,Sunday
T306,2023-12-25,2023,12,25,Q4,Monday
T307,2023-09-13,2023,9,13,Q3,Wednesday
T308,2023-11-29,2023,11,29,Q4,Wednesday
T309,2023-08-22,2023,8,22,Q3,Tuesday
T310,2023-07-31,2023,7,31,Q3,Monday
T311,2023-07-30,2023,7,30,Q3,Sunday
T312,2023-06-30,2023,6,30,Q2,Friday
T313,2023-06-30,2023,6,30,Q2,Friday
T314,2023-10-05,2023,10,5,Q4,Thursday
T315,2023-08-07,2023,8,7,Q3,Monday
T316,2023-09-25,2023,9,25,Q3,Monday
T317,2023-06-21,2023,6,21,Q2,Wednesday
T318,2023-02-28,2023,2,28,Q1,Tuesday
T319,2023-04-01,2023,4,1,Q2,Saturday
T320,2023-08-23,2023,8,23,Q3,Wednesday
T321,2023-08-08,2023,8,8,Q3,Tuesday
T322,2023-07-11,2023,7,11,Q3,Tuesday
T323,2023-04-01,2023,4,1,Q2,Saturday
T324,2023-10-11,2023,10,11,Q4,Wednesday
T325,2023-11-01,2023,11,1,Q4,Wednesday
T326,2023-03-25,2023,3,25,Q1,Saturday
T327,2023-10-05,2023,10,5,Q4,Thursday
T328,2023-08-12,2023,8,12,Q3,Saturday
T329,2023-07-15,2023,7,15,Q3,Saturday
T330,2023-05-26,2023,5,26,Q2,Friday
T331,2023-12-04,2023,12,4,Q4,Monday
T332,2023-12-19,2023,12,19,Q4,Tuesday
T333,2023-12-15,2023,12,15,Q4,Friday
T334,2023-08-12,2023,8,12,Q3,Saturday
T335,2023-11-21,2023,11,21,Q4,Tuesday
T336,2023-05-26,2023,5,26,Q2,Friday
T337,2023-12-26,2023,12,26,Q4,Tuesday
T338,2023-11-14,2023,11,14,Q4,Tuesday
T339,2023-02-20,2023,2,20,Q1,Monday
T340,2023-02-14,2023,2,14,Q1,Tuesday
T341,2023-02-23,2023,2,23,Q1,Thursday
T342,2023-02-15,2023,2,15,Q1,Wednesday
T343,2023-11-29,2023,11,29,Q4,Wednesday
T344,2023-01-09,2023,1,9,Q1,Monday
T345,2023-11-12,2023,11,12,Q4,Sunday
T346,2023-07-30,2023,7,30,Q3,Sunday
T347,2023-02-23,2023,2,23,Q1,Thursday
T348,2023-09-12,2023,9,12,Q3,Tuesday
T349,2023-11-16,2023,11,16,Q4,Thursday
T350,2023-10-06,2023,10,6,Q4,Friday
T351,2023-02-21,2023,2,21,Q1,Tuesday
T352,2023-11-21,2023,11,21,Q4,Tuesday
T353,2023-08-16,2023,8,16,Q3,Wednesday
T354,2023-09-15,2023,9,15,Q3,Friday
T355,2023-10-25,2023,10,25,Q4,Wednesday
T356,2023-01-17,2023,1,17,Q1,Tuesday
T357,2023-12-08,2023,12,8,Q4,Friday
T358,2023-05-29,2023,5,29,Q2,Monday
T359,2023-08-04,2023,8,4,Q3,Friday
T360,2023-04-19,2023,4,19,Q2,Wednesday
T361,2023-04-25,2023,4,25,Q2,Tuesday
T362,2023-08-21,2023,8,21,Q3,Monday
T363,2023-10-10,2023,10,10,Q4,Tuesday
T364,2023-07-15,2023,7,15,Q3,Saturday
T365,2023-02-28,2023,2,28,Q1,Tuesday
T366,2023-04-11,2023,4,11,Q2,Tuesday
T367,2023-08-29,2023,8,29,Q3,Tuesday
T368,2023-03-05,2023,3,5,Q1,Sunday
T369,2023-06-29,2023,6,29,Q2,Thursday
T370,2023-08-26,2023,8,26,Q3,Saturday
T371,2023-07-31,2023,7,31,Q3,Monday
T372,2023-11-27,2023,11,27,Q4,Monday
T373,2023-12-27,2023,12,27,Q4,Wednesday
T374,2023-07-22,2023,7,22,Q3,Saturday
T375,2023-01-04,2023,1,4,Q1,Wednesday
T376,2023-07-11,2023,7,11,Q3,Tuesday
T377,2023-04-25,2023,4,25,Q2,Tuesday
T378,2023-09-17,2023,9,17,Q3,Sunday
T379,2023-05-26,2023,5,26,Q2,Friday
T380,2023-05-18,2023,5,18,Q2,Thursday
T381,2023-12-04,2023,12,4,Q4,Monday
T382,2023-05-16,2023,5,16,Q2,Tuesday
T383,2023-06-07,2023,6,7,Q2,Wednesday
T384,2023-08-01,2023,8,1,Q3,Tuesday
T385,2023-12-11,2023,12,11,Q4,Monday
T386,2023-05-04,2023,5,4,Q2,Thursday
T387,2023-01-03,2023,1,3,Q1,Tuesday
T388,2023-08-01,2023,8,1,Q3,Tuesday
T389,2023-01-17,2023,1,17,Q1,Tuesday
T390,2023-01-08,2023,1,8,Q1,Sunday
T391,2023-01-14,2023,1,14,Q1,Saturday
T392,2023-03-20,2023,3,20,Q1,Monday
T393,2023-07-11,2023,7,11,Q3,Tuesday
T394,2023-09-23,2023,9,23,Q3,Saturday
T395,2023-11-04,2023,11,4,Q4,Saturday
T396,2023-06-12,2023,6,12,Q2,Monday
T397,2023-06-21,2023,6,21,Q2,Wednesday
T398,2023-03-29,2023,3,29,Q1,Wednesday
T399,2023-10-20,2023,10,20,Q4,Friday
T400,2023-08-09,2023,8,9,Q3,Wednesday
T401,2023-05-04,2023,5,4,Q2,Thursday
T402,2023-10-12,2023,10,12,Q4,Thursday
T403,2023-07-20,2023,7,20,Q3,Thursday
T404,2023-04-09,2023,4,9,Q2,Sunday
T405,2023-11-12,2023,11,12,Q4,Sunday
T406,2023-11-26,2023,11,26,Q4,Sunday
T407,2023-07-21,2023,7,21,Q3,Friday
T408,2023-01-27,2023,1,27,Q1,Friday
T409,2023-10-23,2023,10,23,Q4,Monday
T410,2023-08-08,2023,8,8,Q3,Tuesday
T411,2023-03-07,2023,3,7,Q1,Tuesday
T412,2023-11-22,2023,11,22,Q4,Wednesday
T413,2023-07-19,2023,7,19,Q3,Wednesday
T414,2023-03-30,2023,3,30,Q1,Thursday
T415,2023-07-26,2023,7,26,Q3,Wednesday
T416,2023-06-12,2023,6,12,Q2,Monday
T417,2023-09-22,2023,9,22,Q3,Friday
T418,2023-03-23,2023,3,23,Q1,Thursday
T419,2023-08-12,2023,8,12,Q3,Saturday
T420,2023-04-29,2023,4,29,Q2,Saturday
T421,2023-02-20,2023,2,20,Q1,Monday
T422,2023-12-30,2023,12,30,Q4,Saturday
T423,2023-03-06,2023,3,6,Q1,Monday
T424,2023-09-16,2023,9,16,Q3,Saturday
T425,2023-03-02,2023,3,2,Q1,Thursday
T426,2023-11-20,2023,11,20,Q4,Monday
T427,2023-10-23,2023,10,23,Q4,Monday
T428,2023-07-20,2023,7,20,Q3,Thursday
T429,2023-11-18,2023,11,18,Q4,Saturday
T430,2023-05-14,2023,5,14,Q2,Sunday
T431,2023-10-11,2023,10,11,Q4,Wednesday
T432,2023-03-23,2023,3,23,Q1,Thursday
T433,2023-06-15,2023,6,15,Q2,Thursday
T434,2023-04-15,2023,4,15,Q2,Saturday
T435,2023-02-17,2023,2,17,Q1,Friday
T436,2023-02-17,2023,2,17,Q1,Friday
T437,2023-01-14,2023,1,14,Q1,Saturday
T438,2023-08-12,2023,8,12,Q3,Saturday
T439,2023-01-06,2023,1,6,Q1,Friday
T440,2023-11-18,2023,11,18,Q4,Saturday
T441,2023-10-31,2023,10,31,Q4,Tuesday
T442,2023-03-20,2023,3,20,Q1,Monday
T443,2023-01-15,2023,1,15,Q1,Sunday
T444,2023-11-13,2023,11,13,Q4,Monday
T445,2023-12-29,2023,12,29,Q4,Friday
T446,2023-10-06,2023,10,6,Q4,Friday
T447,2023-02-10,2023,2,10,Q1,Friday
T448,2023-10-20,2023,10,20,Q4,Friday
T449,2023-07-15,2023,7,15,Q3,Saturday
T450,2023-01-13,2023,1,13,Q1,Friday
T451,2023-03-08,2023,3,8,Q1,Wednesday
T452,2023-08-21,2023,8,21,Q3,Monday
T453,2023-11-21,2023,11,21,Q4,Tuesday
T454,2023-11-20,2023,11,20,Q4,Monday
T455,2023-07-03,2023,7,3,Q3,Monday
T456,2023-04-06,2023,4,6,Q2,Thursday
T457,2023-05-03,2023,5,3,Q2,Wednesday
T458,2023-12-01,2023,12,1,Q4,Friday
T459,2023-04-24,2023,4,24,Q2,Monday
T460,2023-06-02,2023,6,2,Q2,Friday
T461,2023-04-10,2023,4,10,Q2,Monday
T462,2023-10-02,2023,10,2,Q4,Monday
T463,2023-05-06,2023,5,6,Q2,Saturday
T464,2023-07-13,2023,7,13,Q3,Thursday
T465,2023-05-14,2023,5,14,Q2,Sunday
T466,2023-12-04,2023,12,4,Q4,Monday
T467,2023-01-27,2023,1,27,Q1,Friday
T468,2023-05-21,2023,5,21,Q2,Sunday
T469,2023-02-12,2023,2,12,Q1,Sunday
T470,2023-03-15,2023,3,15,Q1,Wednesday
T471,2023-11-18,2023,11,18,Q4,Saturday
T472,2023-01-12,2023,1,12,Q1,Thursday
T473,2023-11-23,2023,11,23,Q4,Thursday
T474,2023-10-24,2023,10,24,Q4,Tuesday
T475,2023-02-22,2023,2,22,Q1,Wednesday
T476,2023-02-26,2023,2,26,Q1,Sunday
T477,2023-08-24,2023,8,24,Q3,Thursday
T478,2023-11-02,2023,11,2,Q4,Thursday
T479,2023-03-04,2023,3,4,Q1,Saturday
T480,2023-02-24,2023,2,24,Q1,Friday
T481,2023-03-14,2023,3,14,Q1,Tuesday
T482,2023-05-25,2023,5,25,Q2,Thursday
T483,2023-05-15,2023,5,15,Q2,Monday
T484,2023-04-03,2023,4,3,Q2,Monday
T485,2023-02-17,2023,2,17,Q1,Friday
T486,2023-02-09,2023,2,9,Q1,Thursday
T487,2023-09-11,2023,9,11,Q3,Monday
T488,2023-07-05,2023,7,5,Q3,Wednesday
T489,2023-04-17,2023,4,17,Q2,Monday
T490,2023-07-20,2023,7,20,Q3,Thursday
T491,2023-02-21,2023,2,21,Q1,Tuesday
T492,2023-09-09,2023,9,9,Q3,Saturday
T493,2023-01-12,2023,1,12,Q1,Thursday
T494,2023-07-31,2023,7,31,Q3,Monday
T495,2023-02-07,2023,2,7,Q1,Tuesday
T496,2023-09-07,2023,9,7,Q3,Thursday
T497,2023-11-17,2023,11,17,Q4,Friday
T498,2023-02-09,2023,2,9,Q1,Thursday
T499,2023-04-18,2023,4,18,Q2,Tuesday
T500,2023-12-18,2023,12,18,Q4,Monday
